Name,Platform,Year,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count
Brutal Legend,PS3,2009,Action,Electronic Arts,83,61,7.6,162
Tony Hawk: RIDE,Wii,2009,Sports,Activision,47,15,4.5,21
MLB 2000,PS,1999,Sports,Sony Computer Entertainment,,,,
Bully,PS2,2006,Action,Take-Two Interactive,87,69,9.1,293
Rise of the Tomb Raider,PS4,2016,Adventure,Square Enix,,,,
Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,92,41,7.8,72
Hot Shots Golf Fore!,PS2,2003,Sports,Sony Computer Entertainment,,,,
MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,83,30,8.9,31
NHL 2003,PS2,2002,Sports,Electronic Arts,79,20,6.8,18
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,77,32,7.9,187
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,79,38,6.2,157
The Sims 2,DS,2005,Simulation,Electronic Arts,70,13,6.1,24
Bentley's Hackpack,GBA,2005,Misc,N/A,,,,
Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,90,25,8.5,21
Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,85,28,6.9,703
White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,64,77,7.5,213
SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment,70,26,5.5,4
Crash City Mayhem,GBA,2004,Racing,THQ,,,,
Spider-Man,2600,1981,Action,Parker Bros.,,,,
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,81,71,8.7,87
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,,,,
Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,,,,
Mega Man 4,NES,1991,Platform,Capcom,,,,
Guitar Hero: Metallica,Wii,2009,Misc,Activision,85,20,8.6,17
Teenage Mutant Ninja Turtles,GBA,2003,Action,Unknown,71,16,8.8,8
Bayonetta,X360,2009,Action,Sega,90,86,8,597
MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,83,25,8.6,19
Cars,GC,2006,Racing,THQ,71,21,7,5
Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,61,11,4.8,5
Kingdom Hearts Re:coded,DS,2010,Role-Playing,Square Enix,66,58,7,76
Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,77,47,7.8,112
Inazuma Eleven 3,DS,2010,Role-Playing,Level 5,,,,
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,73,43,7.1,75
Wipeout: In The Zone,X360,2011,Misc,Activision,39,5,5.6,8
SnoCross Championship Racing,PS,1999,Racing,Ubisoft,66,8,tbd,
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,76,48,8,70
The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,80,5,6.8,12
Assassin's Creed III,PC,2012,Action,Ubisoft,80,21,6.2,1489
Borderlands 2,PC,2012,Shooter,Take-Two Interactive,89,38,8.2,2482
Teenage Mutant Ninja Turtles,PS2,2003,Action,Konami Digital Entertainment,59,29,8.7,31
Disney Magical World,3DS,2013,Adventure,Nintendo,71,27,7.5,21
Top Gun: Combat Zones,PS2,2001,Simulation,Titus,63,17,3.3,9
NCAA Football 11,X360,2010,Sports,Electronic Arts,86,29,7.1,70
007: The World is not Enough,PS,2000,Action,Electronic Arts,61,11,6.7,44
Cars,Wii,2006,Racing,THQ,65,13,tbd,
Monster High: Ghoul Spirit,DS,2011,Misc,THQ,,,tbd,
Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,81,53,9.2,203
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,80,44,7.8,190
South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,85,31,8.5,575
South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,82,33,8.4,363
NHL 98,PS,1997,Sports,Electronic Arts,,,,
Space Jam,PS,1996,Sports,Acclaim Entertainment,,,,
Balloon Fight,NES,1985,Platform,Nintendo,,,,
Knockout Kings 2000,N64,1999,Fighting,Electronic Arts,,,,
MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,87,23,7.5,75
SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,THQ,48,9,6.4,13
Dante's Inferno,X360,2010,Action,Electronic Arts,73,71,7.7,224
Wii Play: Motion,Wii,2011,Misc,Nintendo,60,34,6.1,16
WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,79,47,7.1,34
Sonic Riders,GC,2006,Racing,Sega,59,32,8,46
Starsky & Hutch,PS2,2003,Racing,Empire Interactive,,,,
Tobal No.1,PS,1996,Fighting,Sony Computer Entertainment,,,,
Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,79,56,7.8,161
Buzz! Quiz World,PS3,2009,Misc,Sony Computer Entertainment,,,,
Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,74,21,8.2,62
Kung Fu Panda,Wii,2008,Action,Activision,70,20,6.7,7
Street Hoops,PS2,2002,Sports,Activision,,,,
EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,,,,
EA Sports Active 2,PS3,2010,Sports,Electronic Arts,78,20,5.4,14
Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,,,tbd,
Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,76,23,8.1,12
Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,,,,
Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,77,63,7.2,53
LEGO Harry Potter: Years 5-7,PS3,N/A,Action,Warner Bros. Interactive Entertainment,76,27,8.3,48
Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,63,15,8.9,23
Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,92,59,8.9,950
Assassin's Creed,PC,2008,Adventure,Ubisoft,,,,
Glover,N64,1998,Platform,Hasbro Interactive,,,,
Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,90,13,8.7,31
Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,57,25,7.4,57
NBA 2K14,XOne,2013,Sports,Take-Two Interactive,86,15,5.7,183
Namco Museum,XB,N/A,Misc,Unknown,59,7,tbd,
SSX,PS3,2012,Sports,Electronic Arts,81,38,6.8,110
Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,56,26,8.1,57
AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,,,,
Super Momotarou Dentetsu III,SNES,1994,Simulation,Hudson Soft,,,,
Sonic Mega Collection Plus,XB,2004,Misc,Sega,75,20,7.9,12
Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,76,42,6.5,53
Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,80,23,7.6,5
Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,78,68,8.3,432
Street Fighter V,PS4,2016,Fighting,Capcom,77,80,3.4,1221
Just Cause 3,XOne,2015,Action,Square Enix,71,24,7,186
Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996,Racing,ASCII Entertainment,,,,
MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,78,36,7.6,9
Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,73,75,7.3,82
Burnout Revenge,PS2,2005,Racing,Electronic Arts,90,52,8.8,114
Crysis 3,X360,2013,Shooter,Electronic Arts,76,45,6.7,344
Far Cry 4,X360,2014,Shooter,Ubisoft,,,7,109
The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,88,82,8.3,818
Homefront,PS3,2011,Shooter,THQ,70,60,5.7,174
Destruction Derby,PS,1995,Racing,Psygnosis,,,,
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,70,46,7,80
Avatar: The Game,PS3,2009,Action,Ubisoft,,,,
The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,71,64,5.7,2421
3Xtreme,PS,1999,Action,989 Studios,,,,
Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,70,44,8.1,8
MX vs. ATV Reflex,PS3,2009,Racing,THQ,74,44,7.4,10
Madden NFL 25,PS4,2013,Sports,Electronic Arts,74,13,5.2,118
Sonic Heroes,XB,2003,Platform,Sega,73,28,7.6,34
Madden NFL 99,N64,1998,Sports,Electronic Arts,,,,
Spider-Man 3,PS2,2007,Platform,Activision,50,14,6.5,28
James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,71,16,7.5,15
LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,69,5,tbd,
LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,61,4,5.2,11
DJ Hero,PS3,2009,Misc,Activision,86,53,7.8,49
Skylanders: Trap Team,X360,2014,Action,Activision,,,tbd,
X-Men Legends,XB,2004,Role-Playing,Activision,82,63,8.5,14
NBA Live 2005,XB,2004,Sports,Electronic Arts,85,28,7.6,14
Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,68,21,6.6,27
LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,,,7.2,21
Madagascar,GBA,2005,Platform,Activision,71,6,tbd,
Blitz: The League,PS2,2005,Sports,Unknown,76,25,8,20
The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,68,11,tbd,
Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,91,22,8.5,59
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,67,64,6.3,121
Tiger Woods PGA Tour 06,PS2,2005,Sports,Electronic Arts,83,29,6.2,16
FIFA Street,X360,2012,Sports,Electronic Arts,77,47,6.7,58
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,84,16,8.6,58
Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,85,38,9.1,132
Cars 2,Wii,2011,Racing,Disney Interactive Studios,,,,
TouchMaster 2,DS,2008,Puzzle,Midway Games,76,8,tbd,
Pokemon Card GB2: Here Comes Team GR!,GB,2001,Strategy,Nintendo,,,,
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,,,,
Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,77,56,8.3,80
Finding Nemo,GC,2003,Action,THQ,62,11,5.5,8
Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,,,6.8,14
Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,83,10,8.2,22
NFL 2K2,PS2,2001,Sports,Sega,85,16,7.5,6
Pure,PS3,2008,Racing,Disney Interactive Studios,83,43,7.8,30
We Ski & Snowboard,Wii,2008,Sports,Atari,,,,
Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,81,67,8.1,84
Call of Duty: World at War,DS,2008,Shooter,Activision,75,12,7.8,20
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,80,41,7.3,17
CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft,,,,
MLB 2001,PS,2000,Sports,Sony Computer Entertainment,,,,
The Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment,,,,
FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,80,18,8.4,22
SingStar Anthems,PS2,2006,Misc,Sony Computer Entertainment,,,,
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,70,25,7.1,16
Seiken Densetsu 3,SNES,1995,Role-Playing,SquareSoft,,,,
Fossil Fighters,DS,2008,Role-Playing,Nintendo,70,17,7.9,15
Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,,,,
NCAA Football 13,PS3,2012,Action,Electronic Arts,79,9,4.1,34
Samba De Amigo,Wii,2008,Misc,Sega,68,43,8.1,40
Mega Man 8 Anniversary Collector's Edition,PS,1996,Platform,Capcom,,,,
The Simpsons Game,PS3,2007,Action,Electronic Arts,71,30,7.5,49
Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,86,40,4.2,6430
The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,78,37,8.1,60
F1 2010,X360,2010,Racing,Codemasters,84,43,7.5,65
Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,78,47,7.8,91
Minecraft: Story Mode,X360,2015,Adventure,Mojang,,,,
Rhythm Heaven,Wii,N/A,Misc,Unknown,,,,
NBA 2K6,PS2,2005,Action,Take-Two Interactive,84,23,8.3,13
Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,78,52,8.3,144
Buzz! The Mega Quiz,PS2,2007,Misc,Sony Computer Entertainment,,,,
Star Wars: Rebel Assault II - The Hidden Empire,PS,1996,Shooter,CTO SpA,,,,
Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,51,11,7.8,17
Far Cry: Primal,XOne,2016,Action,Ubisoft,77,27,6.4,194
Resident Evil: Revelations,3DS,2012,Action,Capcom,82,78,8.5,397
Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,74,55,7.3,81
Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,61,8,5.5,18
Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,90,40,6.6,2299
Rock Band 3,X360,2010,Misc,MTV Games,93,57,8.2,137
WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,75,49,7.6,45
ESPN NHL 2K5,PS2,2004,Sports,Global Star,86,25,8.1,18
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,82,49,7.8,345
Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,88,49,8.8,45
Madden NFL 08,Wii,2007,Sports,Electronic Arts,76,29,6.8,27
Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,48,4,6.6,16
Gex,PS,1995,Platform,Crystal Dynamics,,,,
F1 2009,Wii,2009,Racing,Codemasters,69,29,7.2,30
Derby Stallion II,SNES,1994,Sports,ASCII Entertainment,,,,
Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,81,33,8.8,17
Sleeping Dogs,X360,2012,Action,Square Enix ,80,47,7.9,468
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,80,71,7.7,446
Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,,,,
Need for Speed: V-Rally,PS,1997,Racing,Infogrames,,,,
Monster Strike 3DS,3DS,2015,Action,"mixi, Inc",,,,
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,68,20,7.2,105
Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,69,27,8.1,35
Peppa Pig: The Game,DS,2008,Misc,Pinnacle,,,,
Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,63,31,6.8,29
NFL GameDay '97,PS,1996,Sports,Sony Computer Entertainment,,,,
LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,73,69,6.9,159
Tony Hawk's Project 8,PS2,2006,Sports,Activision,69,17,7.3,19
NHL 2000,PS,1998,Sports,Electronic Arts,,,,
GRID,X360,2008,Racing,Codemasters,87,62,7.9,131
DiRT,X360,2007,Racing,Codemasters,83,59,7.4,94
Buzz! Master Quiz,PSP,2008,Misc,Sony Computer Entertainment,,,,
Red Faction: Guerrilla,X360,2009,Shooter,THQ,85,84,8.1,237
Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,88,37,9,37
Conflict: Desert Storm,XB,2002,Shooter,SCi,65,14,8.1,17
LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,,,7.1,14
Triple Play 2002,PS2,2002,Sports,Electronic Arts,65,17,tbd,
Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,62,17,4.9,12
Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,76,65,8.3,149
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,92,19,8.3,129
Warriors Orochi,PS2,2007,Action,Tecmo Koei,55,14,8.2,16
Enduro,2600,1982,Misc,Quelle,,,,
Crysis 3,PS3,2013,Shooter,Electronic Arts,77,23,6.3,288
Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,72,43,7.1,73
SingStar '90s,PS2,2007,Misc,Sony Computer Entertainment,73,29,tbd,
Wizards of Waverly Place,DS,2009,Misc,Disney Interactive Studios,58,7,tbd,
Ghostbusters: The Video Game,Wii,2009,Action,Atari,76,29,8.5,28
Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix,,,,
Beijing 2008,PS3,2008,Sports,Sega,,,,
Guitar Hero Live,PS4,2015,Misc,Activision,80,69,6.2,160
Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,76,42,8.5,26
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,81,10,8.3,14
Rocky,PS2,2002,Fighting,Rage Software,74,14,8.4,11
Ford Racing,PS,2001,Racing,Empire Interactive,53,4,5.8,4
Madden Football 64,N64,1997,Sports,Electronic Arts,,,,
Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,72,65,6.5,51
MLB 99,PS,1998,Sports,Sony Computer Entertainment,,,,
Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,76,46,7.9,14
Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,Tecmo Koei,72,15,9.1,39
Pictionary,Wii,2010,Puzzle,THQ,71,7,tbd,
Army Men: Air Attack,PS,1999,Action,3DO,,,,
FIFA Soccer 08,DS,2007,Sports,Electronic Arts,,,,
2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,83,61,8.1,58
Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,73,22,7.3,25
NBA 2K8,X360,2007,Sports,Take-Two Interactive,81,33,7,28
Street Fighter Alpha 2,PS,1996,Fighting,Virgin Interactive,,,,
Tiger Woods PGA Tour 2005,XB,2004,Sports,Electronic Arts,88,26,8.9,14
Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,,,,
LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment,,,7.4,14
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,81,34,7.6,376
Rampage World Tour,PS,1997,Action,GT Interactive,,,,
Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari,71,32,7.2,51
Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,,,tbd,
Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,82,50,8.2,193
Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,83,52,7.7,115
Ratatouille,PS2,2007,Action,THQ,65,9,8,11
NFL GameDay,PS,1995,Sports,Sony Computer Entertainment,,,,
Burnout 2: Point of Impact,PS2,2002,Racing,Acclaim Entertainment,86,31,8.2,48
Wii Fit U,WiiU,2013,Sports,Nintendo,72,19,7.7,72
Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,64,17,7.9,31
The Legendary Starfy,DS,2008,Platform,Nintendo,75,25,8.4,26
NCAA Football 11,PS3,2010,Sports,Electronic Arts,85,22,7.4,25
The House of the Dead: Overkill,Wii,2009,Shooter,Sega,78,65,8.7,95
Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,74,56,7,88
Darksiders II,PS3,2012,Action,THQ,84,39,7.1,422
Spider-Man 2,GC,2004,Action,Activision,80,41,8.8,30
The Lord of the Rings: War in the North,X360,N/A,Action,Warner Bros. Interactive Entertainment,61,48,7.4,113
 Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,71,59,7.9,216
Ghostbusters: The Video Game,PS3,2009,Action,Sony Computer Entertainment,78,74,7.9,96
The Incredibles,GC,2004,Action,THQ,63,27,7.1,7
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,84,87,8.9,1548
NBA 2K10,PS3,2009,Sports,Take-Two Interactive,83,30,7.8,39
Petz Dogz Fashion,DS,2008,Simulation,Ubisoft,,,tbd,
ATV Quad Power Racing 2,PS2,2003,Racing,Acclaim Entertainment,68,19,tbd,
Final Fantasy,NES,1987,Role-Playing,SquareSoft,,,,
Skate 2,PS3,2009,Sports,Electronic Arts,84,50,7.8,53
Rocket Power: Team Rocket Rescue,PS,2001,Sports,THQ,,,,
Big Mutha Truckers,PS2,2002,Racing,Empire Interactive,62,15,5.3,20
The Evil Within,PS3,2014,Action,Bethesda Softworks,,,7.6,193
Rogue Galaxy,PS2,2005,Role-Playing,Sony Computer Entertainment,83,59,8.4,89
ESPN College Hoops 2K5,PS2,2004,Sports,Sega,86,14,8.1,10
NCAA Football 14,PS3,2013,Sports,Electronic Arts,77,9,6.2,40
Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,51,15,4.9,19
Sniper Elite V2,X360,2012,Shooter,505 Games,67,37,6.8,131
Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,89,50,9,132
Ben 10: Protector of Earth,PS2,2007,Action,D3Publisher,,,7.6,14
Burnout Legends,PSP,2005,Racing,Electronic Arts,86,53,8.4,108
Q*bert,PS,1999,Puzzle,Atari,,,,
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,57,11,6.7,28
Madden NFL 09 All-Play,Wii,2008,Sports,Electronic Arts,82,19,7.2,22
Ace Combat 3: Electrosphere,PS,1999,Simulation,Sony Computer Entertainment,,,,
Dynasty Warriors 2,PS2,2000,Action,THQ,75,17,8.8,24
Madden NFL 07,PSP,N/A,Sports,Unknown,78,18,6.6,16
Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,60,52,7.4,21
Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,49,76,4.4,456
Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,Disney Interactive Studios,57,6,5,5
FIFA Soccer World Championship,PS2,2000,Sports,Electronic Arts,,,,
NCAA Football 12,PS3,2011,Sports,Electronic Arts,82,17,5.8,41
Brute Force,XB,2003,Shooter,Microsoft Game Studios,77,45,7.8,49
Tiger Woods PGA Tour 11,PS3,2010,Sports,Electronic Arts,78,40,6.7,17
Yu-Gi-Oh! Dark Duel Stories,GB,2000,Misc,Konami Digital Entertainment,,,,
WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,THQ,79,18,8.5,18
The Game of Life,PS,1998,Misc,Unknown,,,,
Mega Man Legends,PS,1997,Adventure,Capcom,,,,
Sly 3: Honor Among Thieves,PS2,2005,Platform,Sony Computer Entertainment,83,59,8.8,130
MLB SlugFest 20-03,PS2,N/A,Sports,Unknown,77,25,8.2,6
Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,69,41,7.4,38
Street Fighter X Tekken,PS3,2012,Fighting,Capcom,84,51,5.3,191
MediEvil,PS,1998,Platform,Sony Computer Entertainment,,,,
Casper,PS,1996,Adventure,Interplay,,,,
Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,84,55,7.8,171
Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,75,33,7.6,197
Dragon Age II,PS3,2011,Action,Electronic Arts,82,52,4.3,1197
Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,70,16,1.8,442
God of War Saga,PS3,2012,Action,Sony Computer Entertainment,,,8.3,52
Scooby-Doo! First Frights,DS,2009,Action,Warner Bros. Interactive Entertainment,,,,
James Bond 007: Nightfire,XB,2002,Shooter,Electronic Arts,78,30,7.8,25
Tony Hawk's Pro Skater 3,GC,2001,Sports,Activision,91,27,9,27
Marvel: Ultimate Alliance,PS2,2006,Role-Playing,Activision,81,29,8.2,33
DJ Hero 2,X360,2010,Misc,Activision,86,66,7.9,23
Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,65,18,8.2,28
Tony Hawk's Underground 2 Remix,PSP,2005,Sports,Activision,83,49,8,34
Need for Speed: Hot Pursuit 2,XB,2002,Racing,Electronic Arts,75,18,6.4,15
Killer Instinct Gold,N64,1996,Fighting,Nintendo,,,,
Clu Clu Land,NES,1984,Puzzle,Nintendo,,,,
Karaoke Revolution Glee,Wii,2010,Misc,Konami Digital Entertainment,,,tbd,
I Spy: Fun House,DS,2007,Puzzle,Scholastic Inc.,53,6,tbd,
Amped: Freestyle Snowboarding,XB,2001,Sports,Microsoft Game Studios,78,30,9,20
The Price is Right,Wii,2008,Misc,Ubisoft,,,4.3,9
Custer's Revenge,2600,1981,Action,Mystique,,,,
Stranglehold,X360,2007,Shooter,Midway Games,77,59,7.6,91
Rocket Power: Beach Bandits,PS2,2002,Platform,THQ,,,6.6,13
Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,Atlus,90,47,8.9,634
Devil May Cry HD Collection,PS3,2012,Action,Capcom,74,27,8.8,158
Thief (2014),PS4,2014,Action,Square Enix,,,,
The Lord of the Rings: War in the North,PS3,N/A,Action,Warner Bros. Interactive Entertainment,63,33,7,100
Dragon Warrior III,GB,2000,Role-Playing,Enix Corporation,,,,
Ready 2 Rumble Boxing: Round 2,PS2,2000,Fighting,Midway Games,75,20,tbd,
Dance Central 3,X360,2012,Misc,Microsoft Game Studios,86,43,8,45
Kamaitachi no Yoru,SNES,1994,Adventure,ChunSoft,,,,
Imagine: Rock Star,DS,2008,Simulation,Ubisoft,,,tbd,
Tales of Destiny II,PS,2000,Role-Playing,Namco Bandai Games,78,9,8.7,31
Super Bomberman 2,SNES,1994,Puzzle,Hudson Soft,,,,
NASCAR 2001,PS,2000,Racing,Electronic Arts,73,8,6.1,9
Twisted Metal (2012),PS3,2012,Action,Sony Computer Entertainment,,,,
The Legend of Zelda: Four Swords Adventures,GC,2004,Action,Nintendo,86,55,7.2,74
Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PS,1999,Sports,Konami Digital Entertainment,,,,
MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,66,43,8.7,52
Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,81,8,8.8,37
Shaun White Snowboarding,X360,N/A,Sports,Ubisoft,60,48,7.6,25
Patapon,PSP,2007,Misc,Sony Computer Entertainment,86,60,8.7,102
Final Fantasy Type-0,PSP,2011,Role-Playing,Unknown,,,,
Mega Man,NES,1987,Platform,Capcom,,,,
Army Men: Sarge's Heroes,N64,1999,Action,3DO,,,,
Pro Evolution Soccer 2010,X360,2009,Sports,Konami Digital Entertainment,78,34,7.6,29
Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,Ubisoft,70,34,8.2,17
Madden NFL 25,XOne,2013,Sports,Electronic Arts,73,18,5.9,111
NCAA Football 10,PS3,2009,Sports,Electronic Arts,80,20,6.9,14
EarthBound,SNES,1994,Role-Playing,Nintendo,,,,
The Next Tetris,PS,1998,Puzzle,Atari,,,,
Guitar Hero: Warriors of Rock,PS3,2010,Misc,Activision,74,46,7.1,30
Battle of Giants: Dinosaurs,DS,2008,Strategy,Ubisoft,,,7.2,9
World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998,Sports,Konami Digital Entertainment,,,,
Final Fantasy XI: Wings of the Goddess,PS2,2007,Role-Playing,Square Enix,,,tbd,
The Sims 2,PS2,2005,Simulation,Electronic Arts,75,31,4.4,166
Dragon Ball: Raging Blast 2,PS3,2010,Fighting,Namco Bandai Games,60,27,7.5,63
SingStar Vol. 2,PS3,2008,Misc,Sony Computer Entertainment,76,36,tbd,
Who wants to be a millionaire,PS,2000,Misc,Eidos Interactive,,,,
Yakuza,PS2,2005,Action,Sega,75,58,8.2,73
